"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 03:05:11 GMT 2023","Thu Apr 06 03:05:17 GMT 2023","5899","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Thu Apr 06 03:05:15 GMT 2023","Thu Apr 06 03:05:20 GMT 2023","4436","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Thu Apr 06 03:05:08 GMT 2023","Thu Apr 06 03:05:11 GMT 2023","3576","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Thu Apr 06 03:04:56 GMT 2023","Thu Apr 06 03:05:04 GMT 2023","8475","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Thu Apr 06 03:05:12 GMT 2023","Thu Apr 06 03:05:15 GMT 2023","3408","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Thu Apr 06 03:05:00 GMT 2023","Thu Apr 06 03:05:04 GMT 2023","3675","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Thu Apr 06 03:05:08 GMT 2023","Thu Apr 06 03:05:12 GMT 2023","3698","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Thu Apr 06 03:04:56 GMT 2023","Thu Apr 06 03:05:00 GMT 2023","4168","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Thu Apr 06 03:05:04 GMT 2023","Thu Apr 06 03:05:08 GMT 2023","4500","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Thu Apr 06 03:05:04 GMT 2023","Thu Apr 06 03:05:08 GMT 2023","3542","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
