"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 06:44:18 GMT 2023","Thu Apr 06 06:44:22 GMT 2023","4391","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Thu Apr 06 06:44:06 GMT 2023","Thu Apr 06 06:44:10 GMT 2023","4277","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Thu Apr 06 06:44:10 GMT 2023","Thu Apr 06 06:44:14 GMT 2023","3417","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Thu Apr 06 06:43:58 GMT 2023","Thu Apr 06 06:44:07 GMT 2023","8298","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Thu Apr 06 06:44:10 GMT 2023","Thu Apr 06 06:44:14 GMT 2023","3963","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Thu Apr 06 06:44:14 GMT 2023","Thu Apr 06 06:44:18 GMT 2023","3256","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Thu Apr 06 06:44:03 GMT 2023","Thu Apr 06 06:44:06 GMT 2023","3438","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Thu Apr 06 06:44:14 GMT 2023","Thu Apr 06 06:44:20 GMT 2023","6011","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Thu Apr 06 06:43:58 GMT 2023","Thu Apr 06 06:44:03 GMT 2023","4130","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Thu Apr 06 06:44:07 GMT 2023","Thu Apr 06 06:44:10 GMT 2023","3500","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
