"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 11:15:43 GMT 2023","Thu Apr 06 11:15:46 GMT 2023","2937","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Thu Apr 06 11:15:47 GMT 2023","Thu Apr 06 11:15:48 GMT 2023","828","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Thu Apr 06 11:15:43 GMT 2023","Thu Apr 06 11:15:46 GMT 2023","3621","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Thu Apr 06 11:15:46 GMT 2023","Thu Apr 06 11:15:47 GMT 2023","891","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Thu Apr 06 11:15:46 GMT 2023","Thu Apr 06 11:15:48 GMT 2023","2334","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Thu Apr 06 11:15:48 GMT 2023","Thu Apr 06 11:15:49 GMT 2023","1435","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Thu Apr 06 11:15:48 GMT 2023","Thu Apr 06 11:15:49 GMT 2023","780","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Thu Apr 06 11:15:50 GMT 2023","Thu Apr 06 11:15:51 GMT 2023","896","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Thu Apr 06 11:15:49 GMT 2023","Thu Apr 06 11:15:49 GMT 2023","471","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Thu Apr 06 11:15:49 GMT 2023","Thu Apr 06 11:15:50 GMT 2023","686","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
